127.0.0.1 - - [24/Jun/2015:12:16:24 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:17:10 +0530] "GET /FloppersWS/customer/appointmentbooking.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:17:10 +0530] "GET /FloppersWS/codebase/dhtmlxcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:17:10 +0530] "GET /FloppersWS/common/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:17:10 +0530] "GET /FloppersWS/codebase/dhtmlxcalendar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:17:10 +0530] "GET /FloppersWS/common/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:17:10 +0530] "GET /FloppersWS/codebase/imgs/calendar.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:17:10 +0530] "GET /FloppersWS/customer/appointmentbooking.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:17:12 +0530] "GET /FloppersWS/codebase/imgs/dhxcalendar_skyblue/dhxcalendar_arrow_left.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:17:12 +0530] "GET /FloppersWS/codebase/imgs/dhxcalendar_skyblue/dhxcalendar_clock.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:17:12 +0530] "GET /FloppersWS/codebase/imgs/dhxcalendar_skyblue/dhxcalendar_arrow_right.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:17:50 +0530] "POST /FloppersWS/customer/appointmentbooking.action HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:18:17 +0530] "POST /FloppersWS/customer/appointmentbooking.action HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:22:19 +0530] "POST /FloppersWS/customer/appointmentbooking.action HTTP/1.1" 200 2631
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:24:07 +0530] "POST /FloppersWS/customer/appointmentbooking.action HTTP/1.1" 200 2631
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:33:00 +0530] "POST /FloppersWS/customer/appointmentbooking.action HTTP/1.1" 200 2632
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:39:53 +0530] "POST /FloppersWS/customer/appointmentbooking.action HTTP/1.1" 200 2631
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:41:43 +0530] "POST /FloppersWS/customer/appointmentbooking.action HTTP/1.1" 200 2631
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:42:18 +0530] "POST /FloppersWS/customer/appointmentbooking.action HTTP/1.1" 200 2631
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:42:18 +0530] "GET /FloppersWS/common/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:42:18 +0530] "GET /FloppersWS/codebase/dhtmlxcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:42:18 +0530] "GET /FloppersWS/codebase/dhtmlxcalendar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:42:18 +0530] "GET /FloppersWS/common/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:42:25 +0530] "GET /FloppersWS/customer/appointmentbooking.jsp HTTP/1.1" 200 4652
0:0:0:0:0:0:0:1 - - [24/Jun/2015:12:42:41 +0530] "POST /FloppersWS/customer/appointmentbooking.action HTTP/1.1" 200 2632
0:0:0:0:0:0:0:1 - - [24/Jun/2015:14:24:24 +0530] "GET /FloppersWS/customer/customerlogin.jsp HTTP/1.1" 200 3373
0:0:0:0:0:0:0:1 - - [24/Jun/2015:14:24:24 +0530] "GET /FloppersWS/customer/customerlogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:14:24:26 +0530] "POST /FloppersWS/customer/customerlogin.action HTTP/1.1" 200 3142
0:0:0:0:0:0:0:1 - - [24/Jun/2015:14:24:26 +0530] "GET /FloppersWS/images/agents/appointment.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:14:24:26 +0530] "GET /FloppersWS/customer/customerlanding.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:14:24:26 +0530] "GET /FloppersWS/images/agents/cslogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2015:14:25:20 +0530] "GET /FloppersWS/customer/appointmentbooking.jsp HTTP/1.1" 200 4652
